,total_excess
0,0.0
1,0.03333333333333333
2,0.06666666666666667
3,0.1
4,0.12
5,0.13333333333333333
6,0.16
7,0.18666666666666668
8,0.2
9,0.22666666666666666
10,0.24
11,0.24
12,0.24666666666666667
13,0.26
14,0.26
15,0.26666666666666666
16,0.2866666666666667
17,0.29333333333333333
18,0.3
19,0.32
20,0.32
21,0.31333333333333335
22,0.32666666666666666
23,0.32666666666666666
24,0.3333333333333333
25,0.3466666666666667
26,0.3466666666666667
27,0.35333333333333333
28,0.3466666666666667
29,0.35333333333333333
30,0.37333333333333335
31,0.38
32,0.38
33,0.38
34,0.3933333333333333
35,0.4
36,0.41333333333333333
37,0.42
38,0.42
39,0.43333333333333335
40,0.43333333333333335
41,0.44
42,0.44
43,0.44
44,0.4266666666666667
45,0.42333333333333334
46,0.4266666666666667
47,0.43333333333333335
48,0.42
49,0.43333333333333335
50,0.43333333333333335
51,0.44
52,0.4666666666666667
53,0.44666666666666666
54,0.4533333333333333
55,0.47333333333333333
56,0.49
57,0.4766666666666667
58,0.48333333333333334
59,0.48333333333333334
60,0.5
61,0.5
62,0.49333333333333335
63,0.4866666666666667
64,0.4866666666666667
65,0.48
66,0.4866666666666667
67,0.5066666666666667
68,0.5
69,0.5
70,0.5133333333333333
71,0.5033333333333333
72,0.48333333333333334
73,0.4866666666666667
74,0.47333333333333333
75,0.49333333333333335
76,0.5033333333333333
77,0.49333333333333335
78,0.49333333333333335
79,0.4866666666666667
80,0.48333333333333334
81,0.47
82,0.48
83,0.45666666666666667
84,0.45
85,0.45
86,0.4633333333333333
87,0.47333333333333333
88,0.51
89,0.5233333333333333
90,0.5166666666666667
91,0.52
92,0.5466666666666666
93,0.5366666666666666
94,0.5266666666666666
95,0.5233333333333333
96,0.5233333333333333
97,0.5233333333333333
98,0.5333333333333333
99,0.5533333333333333
100,0.5433333333333333
101,0.5233333333333333
102,0.52
103,0.5333333333333333
104,0.52
105,0.5
106,0.51
107,0.49666666666666665
108,0.5033333333333333
109,0.51
110,0.52
111,0.51
112,0.5166666666666667
113,0.5233333333333333
114,0.5066666666666667
115,0.5033333333333333
116,0.51
117,0.52
118,0.51
119,0.5033333333333333
120,0.48333333333333334
121,0.4866666666666667
122,0.4866666666666667
123,0.49333333333333335
124,0.5166666666666667
125,0.5266666666666666
