,total_excess
0,0.0
1,0.008
2,0.024
3,0.032
4,0.048
5,0.072
6,0.072
7,0.08
8,0.064
9,0.08
10,0.08
11,0.08
12,0.096
13,0.112
14,0.112
15,0.112
16,0.128
17,0.144
18,0.16
19,0.168
20,0.176
21,0.16
22,0.164
23,0.168
24,0.2
25,0.176
26,0.184
27,0.192
28,0.184
29,0.2
30,0.192
31,0.208
32,0.212
33,0.22
34,0.212
35,0.22
36,0.22
37,0.232
38,0.224
39,0.212
40,0.228
41,0.228
42,0.216
43,0.22
44,0.228
45,0.232
46,0.268
47,0.26
48,0.256
49,0.252
50,0.268
51,0.24
52,0.252
53,0.264
54,0.256
55,0.232
56,0.256
57,0.244
58,0.208
59,0.208
60,0.22
61,0.212
62,0.22
63,0.224
64,0.224
65,0.224
66,0.268
67,0.256
68,0.252
69,0.26
70,0.264
71,0.28
72,0.284
73,0.272
74,0.276
75,0.304
76,0.308
77,0.296
78,0.296
79,0.32
80,0.304
81,0.324
82,0.312
83,0.28
84,0.304
85,0.288
86,0.292
87,0.264
88,0.248
89,0.272
90,0.256
91,0.24
92,0.212
93,0.232
94,0.256
95,0.252
96,0.288
97,0.292
98,0.296
99,0.292
100,0.26
101,0.252
102,0.248
103,0.232
104,0.276
105,0.26
106,0.24
107,0.276
108,0.272
109,0.24
110,0.252
111,0.248
112,0.252
113,0.252
114,0.24
115,0.24
116,0.268
117,0.244
118,0.26
119,0.292
120,0.296
121,0.256
122,0.272
123,0.26
124,0.276
125,0.28
126,0.284
127,0.3
128,0.292
129,0.304
130,0.304
131,0.308
132,0.284
133,0.248
134,0.268
135,0.264
136,0.28
137,0.3
138,0.284
139,0.28
140,0.26
141,0.284
142,0.348
143,0.32
144,0.36
145,0.332
146,0.304
147,0.276
148,0.292
149,0.296
150,0.296
151,0.312
152,0.308
153,0.288
154,0.284
155,0.284
156,0.288
157,0.284
158,0.26
159,0.244
160,0.228
161,0.232
162,0.26
163,0.264
164,0.328
165,0.3
166,0.256
167,0.268
168,0.268
169,0.26
170,0.26
171,0.272
172,0.304
173,0.312
174,0.328
175,0.312
176,0.312
177,0.312
178,0.308
179,0.276
180,0.264
181,0.228
182,0.256
183,0.252
184,0.272
185,0.264
186,0.24
187,0.24
188,0.248
189,0.24
190,0.232
191,0.216
192,0.212
193,0.22
194,0.184
195,0.204
196,0.216
197,0.24
198,0.26
199,0.264
200,0.316
201,0.312
202,0.284
203,0.272
204,0.324
205,0.288
206,0.26
207,0.268
208,0.256
209,0.276
210,0.276
211,0.264
212,0.284
213,0.3
214,0.3
215,0.308
216,0.356
217,0.368
218,0.348
219,0.356
220,0.348
221,0.312
222,0.28
223,0.272
224,0.284
225,0.304
226,0.304
227,0.256
228,0.284
229,0.3
230,0.292
231,0.332
232,0.344
233,0.356
234,0.296
235,0.32
236,0.308
237,0.32
238,0.34
239,0.34
240,0.324
241,0.328
242,0.296
243,0.304
244,0.324
245,0.324
246,0.296
247,0.3
248,0.284
249,0.308
250,0.316
251,0.304
252,0.28
253,0.32
254,0.336
255,0.344
256,0.328
257,0.328
258,0.304
259,0.308
260,0.32
261,0.3
262,0.312
263,0.296
264,0.276
265,0.308
266,0.3
267,0.284
268,0.32
269,0.316
270,0.328
271,0.308
272,0.296
273,0.332
274,0.3
275,0.308
276,0.312
277,0.312
278,0.316
279,0.336
280,0.352
281,0.336
282,0.312
283,0.264
284,0.268
285,0.276
286,0.28
287,0.256
288,0.268
289,0.308
290,0.304
291,0.312
292,0.34
293,0.328
294,0.344
295,0.32
296,0.336
297,0.324
298,0.292
299,0.288
300,0.28
301,0.292
302,0.3
303,0.312
304,0.32
305,0.348
306,0.316
307,0.316
308,0.3
309,0.312
310,0.28
311,0.3
312,0.32
313,0.336
314,0.328
315,0.3
316,0.332
317,0.304
318,0.28
319,0.248
320,0.276
321,0.252
322,0.28
323,0.276
324,0.3
325,0.284
326,0.272
327,0.268
328,0.272
329,0.244
330,0.256
331,0.232
332,0.232
333,0.28
334,0.248
335,0.28
336,0.24
337,0.216
338,0.252
339,0.26
340,0.248
341,0.228
342,0.22
343,0.236
344,0.22
345,0.244
346,0.272
347,0.24
348,0.236
349,0.268
350,0.244
351,0.256
352,0.264
353,0.296
354,0.304
355,0.308
356,0.28
357,0.252
358,0.252
359,0.256
360,0.272
361,0.264
362,0.288
363,0.272
364,0.252
365,0.272
366,0.292
367,0.3
368,0.268
369,0.248
370,0.244
371,0.264
372,0.3
373,0.32
374,0.32
375,0.328
376,0.32
377,0.304
378,0.292
379,0.308
380,0.296
381,0.324
382,0.368
383,0.328
384,0.276
385,0.308
386,0.308
387,0.316
388,0.32
389,0.34
390,0.316
391,0.288
392,0.312
393,0.312
394,0.312
395,0.272
396,0.28
397,0.288
398,0.248
399,0.268
400,0.276
401,0.272
402,0.304
403,0.328
404,0.32
405,0.304
406,0.312
407,0.312
408,0.284
409,0.272
410,0.248
411,0.24
412,0.236
413,0.22
414,0.228
415,0.228
416,0.232
417,0.228
418,0.212
419,0.208
420,0.24
421,0.252
422,0.248
423,0.256
424,0.252
425,0.272
426,0.28
427,0.3
428,0.312
429,0.316
430,0.272
431,0.288
432,0.316
433,0.292
434,0.304
435,0.284
436,0.268
437,0.232
438,0.256
439,0.252
440,0.252
441,0.224
442,0.228
443,0.24
444,0.24
445,0.256
446,0.276
447,0.264
448,0.264
449,0.264
450,0.256
451,0.292
452,0.336
453,0.288
454,0.236
455,0.244
456,0.252
457,0.26
458,0.276
459,0.288
460,0.324
461,0.3
462,0.272
463,0.284
464,0.284
465,0.28
466,0.28
467,0.272
468,0.248
469,0.276
470,0.264
471,0.284
472,0.324
473,0.32
474,0.324
475,0.348
476,0.36
477,0.364
478,0.356
479,0.368
480,0.352
481,0.372
482,0.34
483,0.316
484,0.308
485,0.332
486,0.348
487,0.336
488,0.324
489,0.34
490,0.344
491,0.364
492,0.348
493,0.34
494,0.304
495,0.34
496,0.312
497,0.292
498,0.296
499,0.276
500,0.248
501,0.284
502,0.284
503,0.312
504,0.316
505,0.264
506,0.256
507,0.22
508,0.224
509,0.248
510,0.22
511,0.24
512,0.26
513,0.264
514,0.28
515,0.284
516,0.276
517,0.312
518,0.292
519,0.312
520,0.316
521,0.296
522,0.264
523,0.224
524,0.26
525,0.28
526,0.268
527,0.312
528,0.268
529,0.26
530,0.236
531,0.248
532,0.308
533,0.308
534,0.332
535,0.336
536,0.356
537,0.352
538,0.356
539,0.308
540,0.292
541,0.272
542,0.288
543,0.292
544,0.308
545,0.296
546,0.288
547,0.304
548,0.336
549,0.328
550,0.28
551,0.276
552,0.32
