,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.01
10,0.01
11,0.01
12,0.02
13,0.02
14,0.03
15,0.04
16,0.03
17,0.05
18,0.06
19,0.04
20,0.06
21,0.06
22,0.07
23,0.1
24,0.11
25,0.12
26,0.12
27,0.13
28,0.13
29,0.14
30,0.13
31,0.13
32,0.135
33,0.135
34,0.125
35,0.155
36,0.135
37,0.145
38,0.155
39,0.145
40,0.135
41,0.125
42,0.135
43,0.15
44,0.17
45,0.165
46,0.165
47,0.185
48,0.195
49,0.22
50,0.215
51,0.215
52,0.21
53,0.22
54,0.235
55,0.23
56,0.21
57,0.245
58,0.24
59,0.235
60,0.215
61,0.215
62,0.21
63,0.225
64,0.255
65,0.27
66,0.265
67,0.25
68,0.275
69,0.28
70,0.275
71,0.28
72,0.285
73,0.285
74,0.305
75,0.305
76,0.29
77,0.26
78,0.285
79,0.315
80,0.325
81,0.335
82,0.34
83,0.37
84,0.37
85,0.37
86,0.395
87,0.395
88,0.385
89,0.34
90,0.345
91,0.335
92,0.3
93,0.31
94,0.325
95,0.33
96,0.335
97,0.32
98,0.29
99,0.265
100,0.255
101,0.27
102,0.28
103,0.295
104,0.3
105,0.335
106,0.3
107,0.315
108,0.31
109,0.295
110,0.3
111,0.31
112,0.29
113,0.31
114,0.325
115,0.34
116,0.315
117,0.295
118,0.31
119,0.305
120,0.31
121,0.32
122,0.305
123,0.32
124,0.3
125,0.285
126,0.305
127,0.315
128,0.32
129,0.32
130,0.275
131,0.305
132,0.31
133,0.32
134,0.325
135,0.355
136,0.305
137,0.285
138,0.275
139,0.3
140,0.3
141,0.255
142,0.23
143,0.215
144,0.225
145,0.215
146,0.24
147,0.245
148,0.235
149,0.22
150,0.205
151,0.235
152,0.225
153,0.25
154,0.26
155,0.24
156,0.27
157,0.31
158,0.3
159,0.305
160,0.33
161,0.33
162,0.33
163,0.31
164,0.29
165,0.33
166,0.3
167,0.255
168,0.24
169,0.245
170,0.245
171,0.255
172,0.26
173,0.24
174,0.225
175,0.23
176,0.23
177,0.23
178,0.255
179,0.27
180,0.26
181,0.285
182,0.35
183,0.335
184,0.305
185,0.315
186,0.315
187,0.315
188,0.35
189,0.38
190,0.39
191,0.405
192,0.41
193,0.425
194,0.415
195,0.4
196,0.37
197,0.38
198,0.37
199,0.355
200,0.35
201,0.345
202,0.345
203,0.33
204,0.32
205,0.3
206,0.315
207,0.285
208,0.31
209,0.345
210,0.335
211,0.31
212,0.29
213,0.26
214,0.26
215,0.24
216,0.235
217,0.26
218,0.275
219,0.295
220,0.29
221,0.3
222,0.29
223,0.26
224,0.25
225,0.28
226,0.25
227,0.27
228,0.215
229,0.24
230,0.205
231,0.215
232,0.24
233,0.27
234,0.28
235,0.305
236,0.3
237,0.34
238,0.35
239,0.38
240,0.405
241,0.39
242,0.38
243,0.39
244,0.41
245,0.445
246,0.445
247,0.465
248,0.46
249,0.445
250,0.43
251,0.45
252,0.45
253,0.45
254,0.45
255,0.455
256,0.45
257,0.4
258,0.4
259,0.4
260,0.395
261,0.365
262,0.33
263,0.34
264,0.325
265,0.305
266,0.31
267,0.325
268,0.305
269,0.315
270,0.305
271,0.285
272,0.29
273,0.28
274,0.27
275,0.245
276,0.235
277,0.225
278,0.205
279,0.245
280,0.265
281,0.27
282,0.275
283,0.3
284,0.3
285,0.355
286,0.345
287,0.395
288,0.38
289,0.33
290,0.35
291,0.335
292,0.315
293,0.33
294,0.315
295,0.33
296,0.33
297,0.37
298,0.35
299,0.37
300,0.335
301,0.295
302,0.27
303,0.31
304,0.31
305,0.34
306,0.31
307,0.27
308,0.285
309,0.285
310,0.315
311,0.35
312,0.37
313,0.355
314,0.345
315,0.345
316,0.32
317,0.34
318,0.335
319,0.315
320,0.285
321,0.27
322,0.26
323,0.255
324,0.225
325,0.23
326,0.24
327,0.24
328,0.26
329,0.27
330,0.295
331,0.285
332,0.27
333,0.23
334,0.255
335,0.26
336,0.265
337,0.295
338,0.29
339,0.26
340,0.295
341,0.265
342,0.215
343,0.215
344,0.27
345,0.235
346,0.215
347,0.225
348,0.235
349,0.25
350,0.28
351,0.285
352,0.295
353,0.33
354,0.33
355,0.375
356,0.36
357,0.355
358,0.345
359,0.31
360,0.325
361,0.345
362,0.35
363,0.365
364,0.405
365,0.4
366,0.39
367,0.39
368,0.335
369,0.305
370,0.29
371,0.28
372,0.27
373,0.28
374,0.295
375,0.315
376,0.295
377,0.315
378,0.31
379,0.315
380,0.305
381,0.295
382,0.345
383,0.33
384,0.305
385,0.32
386,0.29
387,0.28
388,0.3
389,0.315
390,0.315
391,0.315
392,0.345
393,0.37
394,0.37
395,0.39
396,0.405
397,0.425
398,0.395
399,0.33
400,0.325
401,0.34
402,0.335
403,0.36
404,0.31
405,0.29
406,0.28
407,0.26
408,0.28
409,0.28
410,0.27
411,0.285
412,0.27
413,0.315
414,0.315
415,0.305
416,0.265
417,0.29
418,0.29
419,0.28
420,0.26
421,0.26
422,0.255
423,0.24
424,0.29
425,0.26
426,0.245
427,0.25
428,0.25
429,0.28
430,0.315
431,0.33
432,0.32
433,0.34
434,0.33
435,0.32
436,0.315
437,0.315
438,0.295
439,0.31
440,0.285
441,0.28
442,0.265
443,0.245
444,0.185
445,0.175
446,0.175
447,0.17
448,0.195
449,0.215
450,0.175
451,0.175
452,0.19
453,0.2
454,0.225
455,0.24
456,0.245
457,0.235
458,0.25
459,0.275
460,0.275
461,0.3
462,0.3
463,0.275
464,0.275
465,0.285
466,0.305
467,0.305
468,0.335
469,0.37
470,0.385
471,0.37
472,0.36
473,0.34
474,0.36
475,0.4
476,0.435
477,0.46
478,0.47
479,0.41
480,0.415
481,0.4
482,0.42
483,0.415
484,0.42
485,0.42
486,0.42
487,0.41
488,0.39
489,0.355
490,0.375
491,0.365
492,0.365
493,0.325
494,0.3
495,0.325
496,0.39
497,0.405
498,0.42
499,0.415
500,0.45
501,0.41
502,0.425
503,0.395
504,0.39
505,0.345
506,0.37
507,0.36
508,0.39
509,0.4
510,0.365
511,0.365
512,0.385
513,0.405
514,0.42
515,0.385
516,0.365
517,0.36
518,0.345
519,0.335
520,0.31
521,0.345
522,0.36
523,0.335
524,0.32
525,0.305
526,0.295
527,0.245
528,0.27
529,0.305
530,0.295
531,0.32
532,0.3
533,0.295
534,0.32
535,0.31
536,0.305
537,0.33
538,0.385
539,0.365
540,0.36
541,0.365
542,0.32
543,0.31
544,0.28
545,0.25
546,0.285
547,0.28
548,0.245
549,0.21
550,0.245
551,0.23
552,0.23
553,0.28
554,0.295
555,0.325
556,0.335
557,0.345
558,0.335
559,0.355
560,0.35
561,0.34
562,0.34
563,0.335
564,0.345
565,0.36
566,0.355
567,0.34
568,0.33
569,0.325
570,0.345
571,0.355
