,M+1,M+2,M+3,M+4,M+5
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.02,0.0,0.0,0.0
3,0.0,0.04,0.0,0.0,0.0
4,0.0,0.08,0.0,0.0,0.0
5,0.0,0.12,0.0,0.0,0.0
6,0.0,0.14,0.0,0.0,0.0
7,0.0,0.18,0.0,0.0,0.0
8,0.0,0.24,0.0,0.0,0.0
9,0.0,0.26,0.0,0.0,0.0
10,0.0,0.24,0.0,0.0,0.0
11,0.0,0.28,0.0,0.0,0.0
12,0.0,0.36,0.0,0.0,0.0
13,0.0,0.42,0.0,0.0,0.0
14,0.0,0.42,0.0,0.0,0.0
15,0.0,0.44,0.0,0.0,0.0
16,0.0,0.46,0.0,0.0,0.0
17,0.0,0.5,0.0,0.0,0.0
18,0.0,0.56,0.0,0.0,0.0
19,0.0,0.56,0.02,0.0,0.0
20,0.0,0.6,0.0,0.0,0.0
21,0.0,0.64,0.0,0.0,0.0
22,0.0,0.6,0.0,0.0,0.0
23,0.0,0.64,0.0,0.0,0.0
24,0.0,0.64,0.02,0.0,0.0
25,0.0,0.66,0.02,0.0,0.0
26,0.0,0.66,0.02,0.02,0.0
27,0.0,0.64,0.02,0.06,0.0
28,0.0,0.66,0.02,0.04,0.0
29,0.0,0.68,0.02,0.04,0.0
30,0.0,0.74,0.02,0.02,0.0
31,0.0,0.76,0.04,0.02,0.0
32,0.0,0.78,0.04,0.02,0.0
33,0.0,0.76,0.06,0.02,0.0
34,0.0,0.72,0.1,0.04,0.0
35,0.0,0.7,0.1,0.06,0.0
36,0.0,0.72,0.1,0.04,0.0
37,0.0,0.72,0.1,0.06,0.0
38,0.0,0.7,0.12,0.06,0.0
39,0.0,0.66,0.14,0.08,0.0
40,0.0,0.68,0.12,0.08,0.0
41,0.0,0.72,0.12,0.04,0.0
42,0.0,0.7,0.16,0.04,0.0
43,0.0,0.76,0.12,0.02,0.0
44,0.0,0.7,0.12,0.08,0.0
45,0.0,0.68,0.14,0.1,0.0
46,0.0,0.66,0.14,0.14,0.0
47,0.0,0.68,0.1,0.16,0.0
48,0.0,0.64,0.14,0.18,0.0
49,0.0,0.58,0.14,0.24,0.0
50,0.0,0.56,0.12,0.28,0.0
51,0.0,0.56,0.14,0.26,0.0
52,0.0,0.54,0.14,0.28,0.0
53,0.0,0.54,0.12,0.32,0.0
54,0.0,0.56,0.14,0.3,0.0
55,0.0,0.58,0.14,0.28,0.0
56,0.0,0.6,0.16,0.24,0.0
57,0.0,0.54,0.24,0.22,0.0
58,0.0,0.54,0.24,0.22,0.0
59,0.0,0.5,0.24,0.26,0.0
60,0.0,0.44,0.28,0.28,0.0
61,0.0,0.44,0.26,0.3,0.0
62,0.0,0.42,0.26,0.32,0.0
63,0.0,0.38,0.28,0.34,0.0
64,0.0,0.3,0.32,0.38,0.0
65,0.0,0.3,0.34,0.36,0.0
66,0.0,0.28,0.36,0.36,0.0
67,0.0,0.24,0.3,0.46,0.0
68,0.0,0.2,0.3,0.48,0.02
69,0.0,0.18,0.32,0.48,0.02
70,0.0,0.16,0.34,0.44,0.06
71,0.0,0.14,0.34,0.44,0.08
72,0.0,0.14,0.28,0.48,0.1
73,0.0,0.12,0.26,0.52,0.1
74,0.0,0.14,0.22,0.52,0.12
75,0.0,0.16,0.2,0.5,0.14
76,0.0,0.16,0.2,0.5,0.14
77,0.0,0.16,0.26,0.42,0.16
78,0.0,0.12,0.26,0.48,0.14
79,0.0,0.1,0.26,0.52,0.12
80,0.0,0.08,0.22,0.6,0.1
81,0.0,0.1,0.2,0.58,0.12
82,0.0,0.1,0.2,0.58,0.12
83,0.0,0.12,0.16,0.56,0.16
84,0.0,0.1,0.2,0.56,0.14
85,0.0,0.08,0.18,0.58,0.16
86,0.0,0.06,0.2,0.58,0.16
87,0.0,0.04,0.18,0.62,0.16
88,0.0,0.04,0.24,0.58,0.14
89,0.0,0.02,0.24,0.6,0.14
90,0.0,0.02,0.26,0.58,0.14
91,0.0,0.02,0.28,0.54,0.16
92,0.0,0.02,0.28,0.5,0.2
93,0.0,0.02,0.28,0.54,0.16
94,0.0,0.02,0.26,0.54,0.18
95,0.0,0.04,0.22,0.56,0.18
96,0.0,0.06,0.22,0.52,0.2
97,0.0,0.06,0.24,0.5,0.2
98,0.0,0.04,0.26,0.46,0.24
99,0.0,0.04,0.22,0.46,0.28
100,0.0,0.04,0.22,0.5,0.24
