,total_excess
0,0.0
1,0.0
2,0.008
3,0.016
4,0.032
5,0.048
6,0.056
7,0.072
8,0.096
9,0.104
10,0.096
11,0.112
12,0.144
13,0.168
14,0.168
15,0.176
16,0.184
17,0.2
18,0.224
19,0.236
20,0.24
21,0.256
22,0.24
23,0.256
24,0.268
25,0.276
26,0.292
27,0.316
28,0.308
29,0.316
30,0.324
31,0.344
32,0.352
33,0.356
34,0.38
35,0.388
36,0.38
37,0.396
38,0.4
39,0.412
40,0.408
41,0.392
42,0.408
43,0.392
44,0.416
45,0.436
46,0.46
47,0.46
48,0.484
49,0.508
50,0.52
51,0.516
52,0.524
53,0.544
54,0.548
55,0.54
56,0.528
57,0.536
58,0.536
59,0.552
60,0.568
61,0.572
62,0.58
63,0.592
64,0.616
65,0.612
66,0.616
67,0.644
68,0.664
69,0.668
70,0.68
71,0.692
72,0.708
73,0.72
74,0.724
75,0.724
76,0.724
77,0.716
78,0.728
79,0.732
80,0.744
81,0.744
82,0.744
83,0.752
84,0.748
85,0.764
86,0.768
87,0.78
88,0.764
89,0.772
90,0.768
91,0.768
92,0.776
93,0.768
94,0.776
95,0.776
96,0.772
97,0.768
98,0.78
99,0.796
100,0.788
