,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.01
5,0.01
6,0.01
7,0.0
8,0.01
9,0.01
10,0.01
11,0.02
12,0.02
13,0.04
14,0.04
15,0.04
16,0.05
17,0.05
18,0.07
19,0.09
20,0.11
21,0.12
22,0.13
23,0.14
24,0.16
25,0.18
26,0.18
27,0.19
28,0.19
29,0.215
30,0.225
31,0.225
32,0.245
33,0.235
34,0.255
35,0.245
36,0.27
37,0.29
38,0.295
39,0.305
40,0.32
41,0.35
42,0.375
43,0.38
44,0.37
45,0.415
46,0.41
47,0.4
48,0.425
49,0.435
50,0.45
51,0.49
52,0.505
53,0.5
54,0.495
55,0.505
56,0.51
57,0.49
58,0.5
59,0.505
60,0.52
61,0.54
62,0.56
63,0.565
64,0.545
65,0.545
66,0.55
67,0.555
68,0.545
69,0.555
70,0.555
71,0.56
72,0.56
73,0.575
74,0.595
75,0.6
76,0.61
77,0.615
78,0.62
79,0.625
80,0.615
81,0.645
82,0.655
83,0.65
84,0.675
85,0.65
86,0.685
87,0.675
88,0.685
89,0.705
90,0.71
91,0.715
92,0.73
93,0.73
94,0.74
95,0.735
96,0.735
97,0.745
98,0.755
99,0.76
100,0.76
