,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.004
6,0.012
7,0.008
8,0.016
9,0.016
10,0.012
11,0.012
12,0.016
13,0.02
14,0.024
15,0.028
16,0.028
17,0.032
18,0.036
19,0.032
20,0.032
21,0.036
22,0.048
23,0.04
24,0.04
25,0.04
26,0.044
27,0.048
28,0.064
29,0.052
30,0.052
31,0.048
32,0.044
33,0.036
34,0.032
35,0.036
36,0.024
37,0.02
38,0.036
39,0.048
40,0.048
41,0.036
42,0.04
43,0.044
44,0.048
45,0.04
46,0.052
47,0.06
48,0.06
49,0.056
50,0.064
51,0.068
52,0.076
53,0.08
54,0.088
55,0.076
56,0.068
57,0.048
58,0.052
59,0.064
60,0.06
61,0.068
62,0.06
63,0.064
64,0.056
65,0.052
66,0.052
67,0.048
68,0.048
69,0.048
70,0.048
71,0.044
72,0.04
73,0.044
74,0.04
75,0.052
76,0.052
77,0.052
78,0.052
79,0.056
80,0.048
81,0.044
82,0.064
83,0.064
84,0.072
85,0.092
86,0.088
87,0.072
88,0.068
89,0.064
90,0.056
91,0.06
92,0.064
93,0.06
94,0.072
95,0.08
96,0.072
97,0.076
98,0.072
99,0.072
100,0.068
101,0.068
102,0.064
103,0.068
104,0.076
105,0.074
106,0.078
107,0.07
108,0.072
109,0.068
110,0.07
111,0.074
112,0.08
113,0.084
114,0.084
115,0.084
116,0.068
117,0.068
118,0.072
119,0.06
120,0.06
121,0.068
122,0.07
123,0.076
124,0.064
125,0.072
126,0.066
127,0.074
128,0.07
129,0.074
130,0.076
131,0.08
132,0.08
133,0.078
134,0.082
135,0.082
136,0.074
137,0.07
138,0.056
139,0.048
140,0.056
141,0.056
142,0.06
143,0.072
144,0.076
145,0.076
146,0.092
147,0.076
148,0.06
149,0.076
150,0.076
151,0.08
152,0.072
153,0.084
154,0.076
155,0.06
156,0.066
157,0.066
158,0.05
159,0.058
160,0.062
161,0.052
162,0.042
163,0.04
164,0.058
165,0.052
166,0.06
167,0.06
168,0.066
169,0.068
170,0.084
171,0.09
172,0.082
173,0.09
174,0.082
175,0.068
176,0.08
177,0.076
178,0.084
179,0.096
180,0.08
181,0.084
182,0.084
183,0.08
184,0.072
185,0.064
186,0.064
187,0.072
188,0.076
189,0.062
190,0.078
191,0.074
192,0.088
193,0.084
194,0.076
195,0.072
196,0.062
197,0.06
198,0.052
199,0.056
200,0.064
201,0.068
202,0.08
203,0.088
204,0.076
205,0.068
206,0.076
207,0.08
208,0.068
209,0.072
210,0.068
211,0.074
212,0.074
213,0.078
214,0.082
215,0.092
216,0.09
217,0.078
218,0.084
219,0.072
220,0.072
221,0.08
222,0.084
223,0.072
224,0.068
225,0.054
226,0.048
227,0.06
228,0.066
229,0.064
230,0.068
231,0.052
232,0.06
233,0.066
234,0.062
235,0.054
236,0.062
237,0.066
238,0.07
239,0.07
240,0.072
241,0.076
242,0.082
243,0.082
244,0.058
245,0.054
246,0.056
247,0.072
248,0.072
249,0.082
250,0.074
251,0.078
252,0.076
253,0.082
254,0.09
255,0.086
256,0.07
257,0.076
258,0.066
259,0.066
260,0.066
261,0.088
262,0.086
263,0.078
264,0.088
265,0.086
266,0.086
267,0.088
268,0.088
269,0.078
270,0.094
271,0.086
272,0.064
273,0.076
274,0.084
275,0.084
276,0.08
277,0.078
278,0.078
279,0.066
280,0.06
281,0.066
282,0.082
283,0.084
284,0.088
285,0.088
286,0.084
287,0.068
288,0.066
289,0.056
290,0.052
291,0.06
292,0.076
293,0.08
294,0.086
295,0.086
296,0.096
297,0.096
298,0.08
299,0.082
300,0.09
301,0.082
302,0.072
303,0.08
304,0.086
305,0.086
306,0.092
307,0.076
308,0.07
309,0.076
310,0.084
311,0.076
312,0.076
313,0.082
314,0.076
315,0.074
316,0.084
317,0.092
318,0.08
319,0.076
320,0.08
321,0.084
322,0.092
323,0.104
324,0.106
325,0.092
326,0.102
327,0.1
328,0.09
329,0.09
330,0.086
331,0.082
332,0.074
333,0.082
334,0.088
335,0.1
336,0.086
337,0.088
338,0.086
339,0.086
340,0.072
341,0.068
342,0.072
343,0.078
344,0.074
345,0.078
346,0.064
347,0.064
348,0.076
349,0.084
350,0.078
351,0.074
352,0.072
353,0.084
354,0.096
355,0.09
356,0.08
357,0.08
358,0.078
359,0.092
360,0.084
361,0.088
362,0.096
363,0.096
364,0.092
365,0.092
366,0.084
367,0.07
368,0.074
369,0.074
370,0.096
371,0.086
372,0.082
373,0.088
374,0.076
375,0.076
376,0.084
377,0.096
378,0.102
379,0.098
380,0.07
381,0.064
382,0.066
383,0.038
384,0.04
385,0.046
386,0.058
387,0.066
388,0.086
389,0.098
390,0.096
391,0.096
392,0.104
393,0.102
394,0.108
395,0.13
396,0.12
397,0.108
398,0.108
399,0.116
400,0.12
401,0.134
402,0.11
403,0.106
404,0.106
405,0.112
406,0.098
407,0.1
408,0.088
409,0.084
410,0.092
411,0.084
412,0.092
413,0.092
414,0.078
415,0.082
416,0.09
417,0.09
418,0.088
419,0.11
420,0.106
421,0.102
422,0.11
423,0.104
424,0.114
425,0.104
426,0.098
427,0.056
428,0.06
429,0.068
430,0.068
431,0.068
432,0.076
433,0.072
434,0.084
435,0.072
436,0.07
437,0.07
438,0.076
439,0.082
440,0.072
441,0.082
442,0.082
443,0.088
444,0.1
445,0.098
446,0.098
447,0.11
448,0.098
449,0.092
450,0.086
451,0.106
452,0.096
453,0.094
454,0.09
455,0.092
456,0.092
457,0.09
458,0.092
459,0.082
460,0.086
461,0.08
462,0.086
463,0.09
464,0.09
465,0.1
466,0.09
467,0.088
468,0.074
469,0.094
470,0.102
471,0.1
472,0.1
473,0.108
474,0.1
475,0.106
476,0.094
477,0.102
478,0.096
479,0.096
480,0.104
481,0.096
482,0.094
483,0.092
484,0.102
485,0.094
486,0.094
487,0.096
488,0.092
489,0.112
490,0.09
491,0.098
492,0.082
493,0.074
494,0.088
495,0.092
496,0.09
497,0.094
498,0.1
499,0.104
500,0.1
501,0.1
502,0.108
503,0.124
504,0.122
505,0.122
506,0.122
507,0.13
508,0.12
509,0.108
510,0.102
511,0.082
512,0.086
513,0.09
514,0.072
515,0.08
516,0.082
517,0.078
518,0.076
519,0.094
520,0.102
521,0.094
522,0.094
523,0.092
524,0.086
525,0.098
526,0.086
527,0.09
528,0.082
529,0.078
530,0.084
531,0.08
532,0.088
533,0.082
534,0.086
535,0.092
536,0.08
537,0.084
538,0.082
539,0.084
540,0.092
541,0.09
542,0.092
543,0.09
544,0.084
545,0.1
546,0.092
547,0.09
548,0.082
549,0.078
550,0.078
551,0.09
552,0.092
553,0.098
554,0.102
555,0.088
556,0.096
557,0.098
558,0.11
559,0.112
560,0.104
561,0.11
562,0.108
563,0.08
564,0.082
565,0.086
566,0.1
567,0.09
568,0.106
569,0.1
570,0.096
571,0.106
