,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.001
29,0.001
30,0.001
31,0.002
32,0.002
33,0.002
34,0.002
35,0.002
36,0.003
37,0.004
38,0.005
39,0.004
40,0.003
41,0.006
42,0.006
43,0.006
44,0.006
45,0.008
46,0.008
47,0.009
48,0.0105
49,0.0105
50,0.0095
51,0.0095
52,0.0135
53,0.0155
54,0.0165
55,0.0155
56,0.0155
57,0.0195
58,0.0175
59,0.0185
60,0.0195
61,0.0195
62,0.0205
63,0.0205
64,0.0205
65,0.0185
66,0.0195
67,0.0185
68,0.021
69,0.02
70,0.02
71,0.021
72,0.022
73,0.0205
74,0.0255
75,0.0285
76,0.0275
77,0.0275
78,0.0275
79,0.028
80,0.026
81,0.027
82,0.027
83,0.025
84,0.0265
85,0.0285
86,0.028
87,0.029
88,0.029
89,0.03
90,0.029
91,0.0365
92,0.0355
93,0.0345
94,0.0355
95,0.0365
96,0.0335
97,0.0325
98,0.0305
99,0.029
100,0.029
101,0.029
102,0.031
103,0.0345
104,0.0375
105,0.0385
106,0.041
107,0.042
108,0.044
109,0.0405
110,0.0415
111,0.044
112,0.042
113,0.041
114,0.039
115,0.04
116,0.04
117,0.039
118,0.041
119,0.043
120,0.042
121,0.041
122,0.041
123,0.04
124,0.0385
125,0.0395
126,0.042
127,0.048
128,0.046
129,0.0425
130,0.0415
131,0.0425
132,0.0405
133,0.0415
134,0.0425
135,0.0435
136,0.044
137,0.043
138,0.042
139,0.042
140,0.042
141,0.045
142,0.045
143,0.044
144,0.041
145,0.041
146,0.042
147,0.042
148,0.041
149,0.04
150,0.04
151,0.0425
152,0.0425
153,0.0385
154,0.0385
155,0.0375
156,0.04
157,0.0415
158,0.041
159,0.048
160,0.0485
161,0.051
162,0.047
163,0.0465
164,0.0495
165,0.0525
166,0.0525
167,0.0535
168,0.0515
169,0.0505
170,0.054
171,0.0485
172,0.046
173,0.048
174,0.049
175,0.046
176,0.046
177,0.046
178,0.0505
179,0.0525
180,0.053
181,0.054
182,0.052
183,0.05
184,0.049
185,0.05
186,0.049
187,0.0485
188,0.0485
189,0.0475
190,0.051
191,0.053
192,0.0515
193,0.0545
194,0.059
195,0.0645
196,0.0645
197,0.0635
198,0.0625
199,0.0635
200,0.0605
201,0.0585
202,0.0535
203,0.0555
204,0.0565
205,0.0535
206,0.0545
207,0.0515
208,0.0505
209,0.051
210,0.053
211,0.056
212,0.0555
213,0.0555
214,0.0575
215,0.0585
216,0.0585
217,0.0615
218,0.0645
219,0.0645
220,0.0645
221,0.0605
222,0.059
223,0.062
224,0.06
225,0.0625
226,0.0595
227,0.0645
228,0.0615
229,0.059
230,0.063
231,0.065
232,0.064
233,0.064
234,0.0615
235,0.0695
236,0.0705
237,0.069
238,0.0715
239,0.0735
240,0.0715
241,0.0725
242,0.069
243,0.0715
244,0.07
245,0.072
246,0.068
247,0.067
248,0.069
249,0.063
250,0.0655
251,0.0635
252,0.0705
253,0.0705
254,0.0765
255,0.0765
256,0.075
257,0.079
258,0.0805
259,0.0785
260,0.0785
261,0.083
262,0.081
263,0.0805
264,0.0795
265,0.0795
266,0.081
267,0.0775
268,0.0755
269,0.0765
270,0.077
271,0.0725
272,0.0725
273,0.0705
274,0.0665
275,0.0675
276,0.067
277,0.064
278,0.0585
279,0.0565
280,0.063
281,0.0655
282,0.063
283,0.0635
284,0.061
285,0.063
286,0.066
287,0.066
288,0.07
289,0.071
290,0.073
291,0.075
292,0.0725
293,0.0735
294,0.0715
295,0.074
296,0.0765
297,0.078
298,0.0765
299,0.0745
300,0.077
301,0.0725
302,0.0735
303,0.074
304,0.0785
305,0.0775
306,0.0775
307,0.0755
308,0.0745
309,0.0735
310,0.065
311,0.069
312,0.07
313,0.0745
314,0.0745
315,0.0765
316,0.0775
317,0.0755
318,0.0805
319,0.073
320,0.076
321,0.079
322,0.078
323,0.075
324,0.074
325,0.078
326,0.079
327,0.081
328,0.0825
329,0.082
330,0.0825
331,0.08
332,0.082
333,0.0875
334,0.093
335,0.0965
336,0.098
337,0.099
338,0.103
339,0.102
340,0.1005
341,0.0975
342,0.097
343,0.097
344,0.094
345,0.094
346,0.095
347,0.0925
348,0.093
349,0.095
350,0.091
351,0.092
352,0.0925
353,0.092
354,0.088
355,0.0845
356,0.085
357,0.085
358,0.085
359,0.0885
360,0.092
361,0.088
362,0.086
363,0.084
364,0.089
365,0.092
366,0.091
367,0.0975
368,0.0955
369,0.097
370,0.0965
371,0.092
372,0.0935
373,0.097
374,0.0965
375,0.0905
376,0.091
377,0.0875
378,0.0895
379,0.088
380,0.089
381,0.0945
382,0.0955
383,0.0985
384,0.101
385,0.0985
386,0.1005
387,0.1
388,0.1
389,0.0965
390,0.0985
391,0.0945
392,0.095
393,0.097
394,0.097
395,0.098
396,0.0915
397,0.0955
398,0.1015
399,0.1005
400,0.1015
401,0.102
402,0.104
403,0.098
404,0.101
405,0.0985
406,0.098
407,0.1005
408,0.099
409,0.0925
410,0.0865
411,0.089
412,0.0905
413,0.092
414,0.0875
415,0.09
416,0.095
417,0.095
418,0.0945
419,0.093
420,0.095
421,0.0965
422,0.098
423,0.0955
424,0.0995
425,0.1055
426,0.1065
427,0.1015
428,0.101
429,0.1015
430,0.103
431,0.102
432,0.099
433,0.1
434,0.0935
435,0.0995
436,0.1
437,0.1025
438,0.101
439,0.107
440,0.1085
441,0.1045
442,0.1105
443,0.1115
444,0.1175
445,0.112
446,0.115
447,0.114
448,0.109
449,0.112
450,0.113
451,0.109
452,0.1095
453,0.1115
454,0.1085
455,0.1095
456,0.1065
457,0.107
458,0.1005
459,0.101
460,0.1
461,0.1045
462,0.1035
463,0.1045
464,0.101
465,0.0975
466,0.0955
467,0.0965
468,0.0985
469,0.1025
470,0.1025
471,0.103
472,0.1025
473,0.0955
474,0.0965
475,0.096
476,0.1
477,0.1
478,0.103
479,0.1025
480,0.0975
481,0.097
482,0.092
483,0.0915
484,0.0845
485,0.081
486,0.0875
487,0.0775
488,0.0765
489,0.081
490,0.083
491,0.086
492,0.0885
493,0.0885
494,0.0885
495,0.089
496,0.09
497,0.0895
498,0.0875
499,0.0825
500,0.0925
501,0.0945
502,0.094
503,0.096
504,0.0995
505,0.096
506,0.095
507,0.097
508,0.095
509,0.095
510,0.097
511,0.099
512,0.0985
513,0.0925
514,0.0915
515,0.092
516,0.093
517,0.0955
518,0.096
519,0.0925
520,0.093
521,0.0915
522,0.094
523,0.0955
524,0.0925
525,0.095
526,0.096
527,0.096
528,0.1005
529,0.1015
