,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,8e-05
11,0.00012
12,0.00016
13,0.00016
14,0.00024
15,0.00024
16,0.00032
17,0.00032
18,0.00032
19,0.0004
20,0.0004
21,0.0004
22,0.0004
23,0.0004
24,0.00048
25,0.00056
26,0.0006
27,0.00064
28,0.00064
29,0.00068
30,0.00068
31,0.00068
32,0.00076
33,0.00084
34,0.00084
35,0.00084
36,0.00092
37,0.00096
38,0.00096
39,0.00096
40,0.001
41,0.00108
42,0.00112
43,0.0012
44,0.00128
45,0.00132
46,0.00136
47,0.00136
48,0.00144
49,0.00144
50,0.00144
51,0.00148
52,0.00148
53,0.00152
54,0.0016
55,0.00168
56,0.00172
57,0.00192
58,0.00196
59,0.002
60,0.00208
61,0.00212
62,0.00216
63,0.0022
64,0.00228
65,0.00232
66,0.00232
67,0.00236
68,0.0024
69,0.00244
70,0.00244
71,0.00256
72,0.0026
73,0.0026
74,0.00268
75,0.00264
76,0.00276
77,0.0028
78,0.00284
79,0.00288
80,0.00292
81,0.003
82,0.00292
83,0.00296
84,0.003
85,0.003
86,0.00312
87,0.00324
88,0.00336
89,0.0034
90,0.00348
91,0.00348
92,0.00348
93,0.00356
94,0.0036
95,0.0036
96,0.00368
97,0.00372
98,0.00376
99,0.00384
100,0.00392
101,0.00392
102,0.00396
103,0.00392
104,0.00396
105,0.004
106,0.00404
107,0.00416
108,0.0042
109,0.00428
110,0.00432
111,0.0044
112,0.00446
113,0.00454
114,0.00458
115,0.00458
116,0.00474
117,0.00486
118,0.00498
119,0.00506
120,0.00514
121,0.00514
122,0.00522
123,0.00526
124,0.0053
125,0.00534
126,0.00534
127,0.00534
128,0.00542
129,0.00554
130,0.00558
131,0.00558
132,0.00562
133,0.0057
134,0.00574
135,0.00578
136,0.00586
137,0.0059
138,0.006
139,0.00608
140,0.00612
141,0.00608
142,0.00616
143,0.0062
144,0.00624
145,0.0062
146,0.00616
147,0.00624
148,0.00632
149,0.00632
150,0.0064
151,0.00644
152,0.00648
153,0.00648
154,0.0066
155,0.00672
156,0.00676
157,0.0068
158,0.00684
159,0.00684
160,0.00692
161,0.007
162,0.007
163,0.00704
164,0.00708
165,0.0072
166,0.00724
167,0.00732
168,0.00726
169,0.00734
170,0.00734
171,0.0073
172,0.00734
173,0.0073
174,0.00734
175,0.0073
176,0.00726
177,0.0073
178,0.0073
179,0.00726
180,0.00734
181,0.00742
182,0.00742
183,0.00742
184,0.00746
185,0.0075
186,0.00758
187,0.00758
188,0.00762
189,0.00774
190,0.00766
191,0.0077
192,0.00768
193,0.00768
194,0.00776
195,0.00788
196,0.00796
197,0.008
198,0.00804
199,0.00808
200,0.00808
201,0.00816
202,0.00816
203,0.00816
204,0.00824
205,0.00832
206,0.0084
207,0.00844
208,0.00848
209,0.00848
210,0.00848
211,0.00848
212,0.0086
213,0.0086
214,0.00864
215,0.00868
216,0.00872
217,0.0088
218,0.00886
219,0.00902
220,0.00898
221,0.00906
222,0.00906
223,0.00926
224,0.00922
225,0.0094
226,0.0095
227,0.00954
228,0.00958
229,0.00966
230,0.0097
231,0.00978
232,0.00978
233,0.00978
234,0.00978
235,0.0099
236,0.00994
237,0.0101
238,0.0101
239,0.0101
240,0.01006
241,0.0101
242,0.01014
243,0.0102
244,0.01032
245,0.01044
246,0.01048
247,0.0104
248,0.01048
249,0.01048
250,0.01056
251,0.01056
252,0.01064
253,0.01066
254,0.01066
255,0.0108
256,0.01084
257,0.01092
258,0.01096
259,0.01096
260,0.01096
261,0.01094
262,0.01106
263,0.0111
264,0.0111
265,0.0112
266,0.0112
267,0.0112
268,0.01132
269,0.01144
270,0.0114
271,0.01148
272,0.0117
273,0.0117
274,0.0117
275,0.01182
276,0.0119
277,0.0119
278,0.01198
279,0.01206
280,0.01206
281,0.01202
282,0.01206
283,0.0121
284,0.01214
285,0.01218
286,0.01226
287,0.01254
288,0.01254
289,0.01268
290,0.01264
291,0.01264
292,0.0126
293,0.01264
294,0.01268
295,0.01272
296,0.01268
297,0.01278
298,0.01278
299,0.01286
300,0.01286
301,0.01296
302,0.01292
303,0.01288
304,0.01296
305,0.01292
306,0.013
307,0.01304
308,0.01308
309,0.01312
310,0.01308
311,0.01316
312,0.0132
313,0.01316
314,0.0132
315,0.01324
316,0.0132
317,0.01316
318,0.01326
319,0.01326
320,0.01326
321,0.0133
322,0.01342
323,0.01342
324,0.01342
325,0.0135
326,0.0135
327,0.01352
328,0.0136
329,0.01366
330,0.0137
331,0.0137
332,0.01378
333,0.01374
334,0.01378
335,0.01382
336,0.01382
337,0.01386
338,0.01386
339,0.01394
340,0.01408
341,0.01416
342,0.01416
343,0.01424
344,0.01428
345,0.01424
346,0.0143
347,0.01434
348,0.01434
349,0.01438
350,0.01446
351,0.01458
352,0.01464
353,0.01466
354,0.01466
355,0.01466
356,0.01474
357,0.01478
358,0.01482
359,0.01474
360,0.01478
361,0.01482
362,0.0149
363,0.01494
364,0.01494
365,0.01498
366,0.01502
367,0.0151
368,0.01514
369,0.01514
370,0.0151
371,0.01514
372,0.01524
373,0.01524
374,0.01532
375,0.01536
376,0.0154
377,0.0154
378,0.01544
379,0.01556
380,0.01564
381,0.01572
382,0.01576
383,0.01578
384,0.01582
385,0.01584
386,0.01582
387,0.0159
388,0.01582
389,0.01578
390,0.01586
391,0.01586
392,0.01576
393,0.01586
394,0.01586
395,0.01574
396,0.01574
397,0.01582
398,0.01584
399,0.0158
400,0.01578
401,0.01582
402,0.01604
403,0.01608
404,0.01624
405,0.01622
406,0.0163
407,0.01634
408,0.01634
409,0.01634
410,0.01638
411,0.01642
412,0.01646
413,0.01652
414,0.01664
415,0.01672
416,0.01672
417,0.01672
418,0.01676
419,0.01668
420,0.01672
421,0.01672
422,0.01672
423,0.01682
424,0.01684
425,0.01694
426,0.01698
427,0.0171
428,0.0171
429,0.01716
430,0.01724
431,0.01736
432,0.01732
433,0.0174
434,0.0174
435,0.01744
436,0.01744
437,0.01748
438,0.0174
439,0.01744
440,0.0176
441,0.0176
442,0.01764
443,0.01768
444,0.01764
445,0.01772
446,0.0178
447,0.01776
448,0.01784
449,0.01788
450,0.01796
451,0.01788
452,0.01804
453,0.01818
454,0.01826
455,0.01828
456,0.01836
457,0.01844
458,0.01848
459,0.0185
460,0.0185
461,0.0186
462,0.01864
463,0.0187
464,0.0187
465,0.01858
466,0.01862
467,0.01866
468,0.01874
469,0.01878
470,0.01886
471,0.01884
472,0.01888
473,0.01882
474,0.01886
475,0.0189
476,0.01898
477,0.01894
478,0.01898
479,0.0191
480,0.01906
481,0.01914
482,0.01918
483,0.0193
484,0.01926
485,0.01938
486,0.01938
487,0.0193
488,0.0195
489,0.01946
490,0.01956
491,0.01944
492,0.01956
