,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0075
5,0.0075
6,0.015
7,0.0075
8,0.015
9,0.015
10,0.015
11,0.015
12,0.0075
13,0.015
14,0.0075
15,0.0075
16,0.0075
17,0.0075
18,0.0075
19,0.0075
20,0.015
21,0.0225
22,0.015
23,0.015
24,0.015
25,0.0075
26,0.0075
27,0.015
28,0.0225
29,0.0225
30,0.015
31,0.015
32,0.015
33,0.015
34,0.0225
35,0.0225
36,0.015
37,0.0225
38,0.0225
39,0.03
40,0.03
41,0.0225
42,0.03
43,0.015
44,0.015
45,0.0
46,0.0
47,0.0075
48,0.0075
49,0.0075
50,0.0075
51,0.0075
52,0.015
53,0.0075
54,0.0225
55,0.0075
56,0.02
57,0.02
58,0.0275
59,0.02
60,0.02
61,0.015
62,0.0225
63,0.0225
64,0.015
65,0.035
66,0.0425
67,0.035
68,0.0425
69,0.05
70,0.045
71,0.0575
72,0.0575
73,0.04
74,0.0475
75,0.0475
76,0.035
77,0.0225
78,0.0225
79,0.0225
80,0.015
81,0.015
82,0.04
83,0.0425
84,0.045
85,0.03
86,0.0225
87,0.0225
88,0.03
89,0.0275
90,0.03
91,0.03
92,0.03
93,0.0375
94,0.0375
95,0.0225
96,0.035
97,0.04
98,0.0475
99,0.055
100,0.045
101,0.0325
102,0.0275
103,0.0275
104,0.02
105,0.0225
106,0.03
107,0.0275
108,0.0275
109,0.0275
110,0.0275
111,0.0425
112,0.03
113,0.0475
114,0.06
115,0.08
116,0.055
117,0.05
118,0.05
119,0.03
120,0.02
121,0.0225
122,0.0325
123,0.0275
124,0.03
125,0.015
126,0.015
127,0.015
128,0.0275
129,0.0425
130,0.0425
131,0.04
132,0.0225
133,0.0125
134,0.0325
135,0.0275
136,0.0325
137,0.04
138,0.0325
139,0.05
140,0.0375
141,0.03
142,0.03
143,0.03
144,0.0425
145,0.05
146,0.0475
147,0.0525
148,0.0675
149,0.0575
150,0.0575
151,0.0525
152,0.075
153,0.0425
154,0.045
155,0.04
156,0.04
157,0.0475
158,0.0725
159,0.075
160,0.055
161,0.06
162,0.0725
163,0.065
164,0.08
165,0.06
166,0.055
167,0.0425
168,0.035
169,0.0475
170,0.04
171,0.0375
172,0.0375
173,0.05
174,0.035
175,0.0625
176,0.0675
177,0.075
178,0.0575
179,0.0575
180,0.07
181,0.05
182,0.0525
183,0.07
184,0.055
185,0.06
186,0.07
187,0.0625
188,0.075
189,0.07
190,0.06
191,0.065
192,0.0525
193,0.075
194,0.055
195,0.0575
196,0.085
197,0.0775
198,0.0775
199,0.0875
200,0.0625
201,0.0625
202,0.07
203,0.0825
204,0.0575
205,0.045
206,0.0525
207,0.065
208,0.0625
209,0.0475
210,0.0325
211,0.04
212,0.0425
213,0.0625
214,0.0725
215,0.065
216,0.0775
217,0.075
218,0.09
219,0.0625
220,0.06
221,0.07
222,0.0575
223,0.0325
224,0.05
225,0.0625
226,0.0825
227,0.06
228,0.06
229,0.0825
230,0.0875
231,0.05
232,0.06
233,0.055
234,0.0675
235,0.065
236,0.065
237,0.0725
238,0.0575
239,0.08
240,0.0775
241,0.1075
242,0.09
243,0.0975
244,0.085
245,0.085
246,0.0725
247,0.0675
248,0.04
249,0.065
250,0.045
251,0.0625
252,0.07
253,0.0725
254,0.0575
255,0.0575
256,0.0725
257,0.0725
258,0.065
259,0.0625
260,0.065
261,0.06
262,0.055
263,0.05
264,0.0575
265,0.09
266,0.0625
267,0.08
268,0.09
269,0.07
270,0.0675
271,0.065
272,0.05
273,0.0625
274,0.0625
275,0.0625
276,0.0575
277,0.0675
278,0.1
279,0.0825
280,0.115
281,0.105
282,0.085
283,0.0775
284,0.0975
285,0.09
286,0.0675
287,0.0575
288,0.0675
289,0.0725
290,0.11
291,0.1175
292,0.095
293,0.06
294,0.065
295,0.0475
296,0.0475
297,0.0525
298,0.0625
299,0.0725
300,0.085
301,0.09
302,0.0475
303,0.045
304,0.0525
305,0.05
306,0.0625
307,0.0725
308,0.075
309,0.0675
310,0.075
311,0.075
312,0.0875
313,0.07
314,0.0725
315,0.0725
316,0.0625
317,0.075
318,0.085
319,0.06
320,0.0625
321,0.0925
322,0.08
323,0.0825
324,0.0875
325,0.08
326,0.0575
327,0.0525
328,0.085
329,0.1
330,0.095
331,0.08
332,0.0525
333,0.0725
334,0.07
335,0.0675
336,0.0675
337,0.0525
338,0.0725
339,0.095
340,0.07
341,0.075
342,0.08
343,0.0775
344,0.1
345,0.125
346,0.1075
347,0.1025
348,0.105
349,0.1025
350,0.11
351,0.1175
352,0.1125
353,0.105
354,0.1025
355,0.095
356,0.1075
357,0.09
358,0.085
359,0.1025
360,0.0925
361,0.0875
362,0.09
363,0.0725
364,0.0725
365,0.0875
366,0.08
367,0.09
368,0.075
369,0.0975
370,0.0975
371,0.075
372,0.0675
373,0.11
374,0.09
375,0.1075
376,0.0825
377,0.065
378,0.075
379,0.0925
380,0.1275
381,0.115
382,0.0875
383,0.1025
384,0.095
385,0.12
386,0.1125
387,0.1125
388,0.1225
389,0.135
390,0.1325
391,0.1125
392,0.13
393,0.1225
394,0.1225
395,0.145
396,0.135
397,0.125
398,0.1175
399,0.11
400,0.1275
401,0.1375
402,0.1325
403,0.13
404,0.1375
405,0.1375
406,0.125
407,0.11
408,0.1
409,0.0875
410,0.0775
411,0.105
412,0.085
413,0.0875
414,0.0975
415,0.075
416,0.0825
417,0.0775
418,0.085
419,0.11
420,0.1025
421,0.1025
422,0.1025
423,0.0675
424,0.0775
425,0.0625
426,0.06
427,0.0975
428,0.0725
429,0.115
430,0.0975
431,0.105
432,0.1075
433,0.11
434,0.07
435,0.06
436,0.085
437,0.0925
438,0.095
439,0.09
440,0.0825
441,0.095
442,0.0875
443,0.105
444,0.1125
445,0.0775
446,0.0825
447,0.09
448,0.1175
449,0.13
450,0.12
451,0.0925
452,0.1325
453,0.0975
454,0.0975
455,0.1
456,0.095
457,0.095
458,0.0875
459,0.115
460,0.09
461,0.1075
462,0.105
463,0.0825
464,0.095
465,0.12
466,0.12
467,0.12
468,0.1175
469,0.145
470,0.1175
471,0.09
472,0.115
473,0.1225
474,0.1075
475,0.115
476,0.1
477,0.0975
478,0.09
479,0.08
480,0.0825
481,0.09
482,0.135
483,0.1225
484,0.1
485,0.105
486,0.1075
487,0.145
488,0.0975
489,0.1125
490,0.1175
491,0.1225
492,0.09
493,0.1025
494,0.1025
495,0.105
496,0.095
497,0.105
498,0.105
499,0.09
500,0.095
501,0.095
502,0.105
503,0.0925
504,0.0725
505,0.105
506,0.095
507,0.115
508,0.115
509,0.1125
510,0.1475
511,0.1175
512,0.13
513,0.1
514,0.105
515,0.0925
516,0.1025
517,0.095
518,0.11
519,0.11
520,0.1
521,0.1225
522,0.125
523,0.1225
524,0.125
525,0.1025
526,0.095
527,0.095
