,M+1,M+2,M+3
0,0.0,0.0,0.00125
1,0.0,0.0,0.00325
2,0.0,0.0,0.005
3,0.0,0.0,0.007
4,0.0,0.0,0.00925
5,0.0,0.0,0.01175
6,0.0,0.0,0.014
7,0.0,0.0,0.01625
8,0.0,0.0,0.01875
9,0.0,0.0,0.02125
10,0.0,0.0,0.02375
11,0.0,0.0,0.02625
12,0.0,0.0,0.02875
13,0.0,0.0,0.031
14,0.0,0.0,0.0335
15,0.0,0.0,0.03575
16,0.0,0.0,0.038
17,0.0,0.0,0.0405
18,0.0,0.0,0.043
19,0.0,0.0,0.04525
20,0.0,0.0,0.04775
21,0.0,0.0,0.05025
22,0.0,0.0,0.05275
23,0.0,0.0,0.055
24,0.0,0.0,0.0575
25,0.0,0.0,0.0595
26,0.0,0.0,0.06175
27,0.0,0.0,0.06375
28,0.0,0.0,0.066
29,0.0,0.0,0.0685
30,0.0,0.0,0.07075
31,0.0,0.0,0.073
32,0.0,0.0,0.07525
33,0.0,0.0,0.0775
34,0.0,0.0,0.07975
35,0.0,0.0,0.08225
36,0.0,0.0,0.0845
37,0.0,0.0,0.08675
38,0.0,0.0,0.08875
39,0.0,0.0,0.091
40,0.0,0.0,0.0935
41,0.0,0.0,0.095
42,0.0,0.0,0.09675
43,0.0,0.0,0.09925
44,0.0,0.0,0.10125
45,0.0,0.0,0.1035
46,0.0,0.0,0.1055
47,0.0,0.0,0.1075
48,0.0,0.0,0.1095
49,0.0,0.0,0.11175
50,0.0,0.0,0.114
51,0.0,0.0,0.1155
52,0.0,0.0,0.1175
53,0.0,0.0,0.11925
54,0.00025,0.0,0.12175
55,0.00025,0.0,0.12375
56,0.00025,0.0,0.1255
57,0.00025,0.0,0.127
58,0.00025,0.0,0.129
59,0.00025,0.0,0.13125
60,0.0005,0.0,0.1335
61,0.0005,0.0,0.1355
62,0.0005,0.00025,0.13725
63,0.0005,0.00025,0.13975
64,0.0005,0.00025,0.14125
65,0.0005,0.00025,0.14325
66,0.0005,0.00025,0.1455
67,0.0005,0.00025,0.14725
68,0.0005,0.00025,0.14925
69,0.0005,0.00025,0.1515
70,0.0005,0.00025,0.15275
71,0.0005,0.00025,0.15475
72,0.0005,0.00025,0.157
73,0.0005,0.00025,0.15925
74,0.0005,0.00025,0.1615
75,0.0005,0.00025,0.164
76,0.0005,0.00025,0.166
77,0.0005,0.00025,0.1685
78,0.00075,0.00025,0.17075
79,0.00075,0.00025,0.1725
80,0.00075,0.00025,0.17425
81,0.00075,0.00025,0.17625
82,0.00075,0.00025,0.17825
83,0.00075,0.00025,0.18025
84,0.00075,0.00025,0.182
85,0.00075,0.00025,0.1835
86,0.00075,0.00025,0.18525
87,0.00075,0.00025,0.187
88,0.00075,0.00025,0.18925
89,0.00075,0.00025,0.191
90,0.00075,0.00025,0.19325
91,0.001,0.00025,0.19525
92,0.0015,0.00025,0.19725
93,0.0015,0.00025,0.199
94,0.0015,0.0005,0.201
95,0.0015,0.0005,0.2025
96,0.0015,0.0005,0.20425
97,0.00175,0.0005,0.20575
98,0.00175,0.0005,0.20775
99,0.00175,0.00075,0.2095
100,0.00175,0.00075,0.21075
101,0.00175,0.00075,0.21225
102,0.002,0.00075,0.2145
103,0.002,0.00075,0.216
104,0.002,0.00075,0.218
105,0.002,0.00075,0.21975
106,0.002,0.00075,0.22175
107,0.002,0.00075,0.2235
108,0.002,0.00075,0.22475
109,0.00225,0.00075,0.226
110,0.00225,0.00075,0.22775
111,0.00225,0.00075,0.22825
112,0.00225,0.00075,0.2305
113,0.0025,0.00075,0.2325
114,0.00325,0.00075,0.23425
115,0.00325,0.00075,0.2355
116,0.0035,0.00075,0.2365
117,0.0035,0.00075,0.23775
118,0.0035,0.00075,0.23975
119,0.0035,0.00075,0.24125
120,0.0035,0.00075,0.243
121,0.0035,0.00075,0.24425
122,0.0035,0.00075,0.24525
123,0.0035,0.00075,0.247
124,0.0035,0.00075,0.2485
125,0.0035,0.00075,0.25025
126,0.0035,0.00075,0.25175
127,0.0035,0.00075,0.2535
128,0.00375,0.00075,0.255
129,0.004,0.00075,0.2565
130,0.00375,0.00075,0.258
131,0.0035,0.00075,0.25975
132,0.0035,0.00075,0.26075
133,0.00375,0.00075,0.2625
134,0.00375,0.00075,0.26325
135,0.00375,0.001,0.265
136,0.00375,0.001,0.267
137,0.004,0.001,0.2685
138,0.00425,0.001,0.26975
139,0.00425,0.001,0.271
140,0.00425,0.001,0.2725
141,0.00425,0.001,0.27425
142,0.00425,0.001,0.276
143,0.00425,0.001,0.27775
144,0.00425,0.00125,0.2795
145,0.0045,0.00125,0.2805
146,0.0045,0.00125,0.28175
147,0.0045,0.00125,0.2825
148,0.0045,0.00125,0.28425
149,0.0045,0.00125,0.28625
150,0.0045,0.0015,0.28775
151,0.0045,0.00175,0.28925
152,0.00475,0.00175,0.2905
153,0.00475,0.00175,0.2915
154,0.00475,0.00175,0.2925
155,0.00475,0.00175,0.29375
156,0.005,0.00175,0.29525
157,0.005,0.00175,0.29675
158,0.005,0.00175,0.298
159,0.00525,0.002,0.2995
160,0.0055,0.002,0.30075
161,0.00575,0.002,0.30225
162,0.00625,0.002,0.30425
163,0.00625,0.002,0.306
164,0.0065,0.00225,0.30775
165,0.0065,0.00225,0.309
166,0.00675,0.00225,0.311
167,0.00675,0.00225,0.31225
168,0.00675,0.00225,0.31425
169,0.00675,0.00225,0.3155
170,0.007,0.00225,0.316
171,0.007,0.00225,0.318
172,0.00775,0.00225,0.3195
173,0.00775,0.00225,0.32125
174,0.00775,0.00225,0.323
175,0.00775,0.00225,0.3245
176,0.008,0.00225,0.32675
177,0.008,0.002,0.3285
178,0.00825,0.002,0.32975
179,0.00825,0.002,0.33075
180,0.00825,0.00175,0.33225
181,0.00825,0.002,0.3335
182,0.008,0.002,0.33475
183,0.008,0.002,0.3355
184,0.008,0.002,0.33725
185,0.008,0.002,0.33825
186,0.00825,0.00175,0.33925
187,0.0085,0.00175,0.3405
188,0.0085,0.00175,0.34125
189,0.00925,0.00175,0.343
190,0.0095,0.00175,0.3435
191,0.00925,0.00175,0.345
192,0.009,0.00175,0.34625
193,0.00875,0.00175,0.34725
194,0.009,0.00175,0.34775
195,0.009,0.00175,0.34975
196,0.009,0.002,0.351
197,0.009,0.002,0.35175
198,0.0095,0.002,0.35325
199,0.00975,0.00225,0.354
200,0.00975,0.00225,0.3545
201,0.01,0.00225,0.35525
202,0.0105,0.00225,0.356
203,0.01075,0.00225,0.357
204,0.01075,0.00225,0.3585
205,0.011,0.00225,0.35875
206,0.0115,0.00225,0.3595
207,0.01175,0.00225,0.3605
208,0.01175,0.0025,0.3625
209,0.01175,0.003,0.3635
210,0.012,0.003,0.36525
211,0.012,0.003,0.36625
212,0.01275,0.003,0.36775
213,0.01275,0.00325,0.3685
214,0.01275,0.00325,0.369
215,0.013,0.00325,0.3695
216,0.01325,0.00325,0.37125
217,0.01325,0.00325,0.3715
218,0.01375,0.0035,0.37225
219,0.01425,0.0035,0.37275
220,0.01475,0.0035,0.374
221,0.01475,0.0035,0.375
222,0.015,0.0035,0.37575
223,0.015,0.0035,0.3775
224,0.015,0.0035,0.3795
225,0.01525,0.0035,0.3805
226,0.01525,0.0035,0.3825
227,0.01575,0.0035,0.3835
228,0.01575,0.00325,0.38425
229,0.0155,0.00325,0.38625
230,0.0155,0.0035,0.38775
