,M+1,M+2,M+3,M+4
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,0.0,0.0,1.0,0.0
13,0.0,0.0,1.0,0.0
14,0.0,0.0,1.0,0.0
15,0.0,0.0,1.0,0.0
16,0.0,0.0,1.0,0.0
17,0.0,0.0,1.0,0.0
18,0.0,0.0,1.0,0.0
19,0.0,0.0,1.0,0.0
20,0.0,0.0,1.0,0.0
21,0.0,0.0,1.0,0.0
22,0.0,0.0,1.0,0.0
23,0.0,0.0,1.0,0.0
24,0.0,0.0,1.0,0.0
25,0.0,0.0,1.0,0.0
26,0.0,0.0,1.0,0.0
27,0.0,0.0,1.0,0.0
28,0.0,0.0,1.0,0.0
29,0.0,0.0,1.0,0.0
30,0.0,0.0,1.0,0.0
31,0.0,0.0,1.0,0.0
32,0.0,0.0,1.0,0.0
33,0.0,0.0,1.0,0.0
34,0.0,0.0,1.0,0.0
35,0.0,0.0,1.0,0.0
36,0.0,0.0,1.0,0.0
37,0.0,0.1,0.8999999999999999,0.0
38,0.0,0.09090909090909091,0.9090909090909091,0.0
39,0.0,0.16666666666666666,0.8333333333333333,0.0
40,0.0,0.23076923076923075,0.7692307692307693,0.0
41,0.0,0.21428571428571427,0.7857142857142858,0.0
42,0.0,0.21428571428571427,0.7857142857142858,0.0
43,0.0,0.21428571428571427,0.7857142857142858,0.0
44,0.0,0.25000000000000006,0.75,0.0
45,0.0,0.23529411764705885,0.7647058823529412,0.0
46,0.0,0.23529411764705885,0.7647058823529412,0.0
47,0.0,0.25000000000000006,0.75,0.0
48,0.0,0.26666666666666666,0.7333333333333334,0.0
49,0.0,0.26666666666666666,0.7333333333333334,0.0
50,0.0,0.3125,0.6875,0.0
51,0.0,0.29411764705882354,0.7058823529411764,0.0
52,0.0,0.29411764705882354,0.7058823529411764,0.0
53,0.0,0.29411764705882354,0.7058823529411764,0.0
54,0.0,0.3125,0.6875,0.0
55,0.0,0.368421052631579,0.631578947368421,0.0
56,0.0,0.368421052631579,0.631578947368421,0.0
57,0.0,0.368421052631579,0.631578947368421,0.0
58,0.0,0.4285714285714286,0.5714285714285714,0.0
59,0.0,0.4285714285714286,0.5714285714285714,0.0
60,0.0,0.5,0.5,0.0
61,0.0,0.52,0.48000000000000004,0.0
62,0.0,0.5555555555555556,0.44444444444444436,0.0
63,0.0,0.5357142857142857,0.46428571428571425,0.0
64,0.0,0.5172413793103449,0.4827586206896552,0.0
65,0.0,0.5666666666666667,0.4333333333333333,0.0
66,0.0,0.5666666666666667,0.4333333333333333,0.0
67,0.0,0.59375,0.40625,0.0
68,0.0,0.6129032258064516,0.3870967741935484,0.0
69,0.0,0.6363636363636364,0.3636363636363636,0.0
70,0.0,0.6857142857142857,0.31428571428571433,0.0
