,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0003
13,0.0003
14,0.0006
15,0.0006
16,0.0006
17,0.0006
18,0.0009
19,0.0009
20,0.0009
21,0.0009
22,0.0009
23,0.0009
24,0.0012
25,0.0015
26,0.0015
27,0.0015
28,0.0015
29,0.0015
30,0.0018
31,0.0018
32,0.0018
33,0.0021
34,0.0021
35,0.0024
36,0.0027
37,0.0029
38,0.0032
39,0.0034
40,0.0036
41,0.0039
42,0.0039
43,0.0039
44,0.0044
45,0.0047
46,0.0047
47,0.0044
48,0.0041
49,0.0041
50,0.0043
51,0.0046
52,0.0046
53,0.0046
54,0.0043
55,0.005
56,0.005
57,0.005
58,0.0054
59,0.0054
60,0.006
61,0.0062
62,0.0066
63,0.0069
64,0.0072
65,0.0073
66,0.0073
67,0.0077
68,0.0074
69,0.0078
70,0.0081
71,0.0079
72,0.0079
73,0.0085
74,0.0085
75,0.0085
76,0.0087
77,0.0092
78,0.0094
79,0.0099
80,0.0106
81,0.0108
82,0.0106
83,0.011
84,0.0104
85,0.0102
86,0.0113
87,0.0118
88,0.012
89,0.0125
90,0.0124
91,0.0121
92,0.0125
93,0.0129
94,0.0135
95,0.0139
96,0.0145
97,0.015
98,0.0154
99,0.0159
100,0.0162
101,0.0169
102,0.0174
103,0.0176
104,0.0176
105,0.0172
106,0.0171
107,0.0173
108,0.0171
109,0.0183
110,0.0186
111,0.0184
112,0.0195
113,0.0193
114,0.0197
115,0.0188
116,0.0188
117,0.0194
118,0.0199
119,0.0201
120,0.0201
121,0.0209
122,0.021
123,0.0214
124,0.0219
125,0.0225
126,0.0228
127,0.0231
128,0.0235
129,0.0241
130,0.0243
131,0.0245
132,0.0256
133,0.0263
134,0.0262
135,0.0266
136,0.0263
137,0.0265
138,0.0273
139,0.0271
140,0.028
141,0.028
142,0.028
143,0.0286
144,0.0292
145,0.029
146,0.0294
147,0.0294
148,0.0299
149,0.0308
150,0.0313
151,0.0314
152,0.031
153,0.0329
154,0.0329
155,0.0336
156,0.0337
157,0.034
158,0.0339
159,0.0332
160,0.0334
161,0.0334
162,0.0337
163,0.0345
164,0.0334
165,0.0335
166,0.0336
167,0.0342
168,0.0351
169,0.0352
170,0.0355
171,0.0372
172,0.0384
173,0.0388
174,0.0389
175,0.0386
176,0.0388
177,0.0386
178,0.0393
179,0.0388
180,0.0393
181,0.0396
182,0.0405
183,0.0401
184,0.041
185,0.0402
186,0.0406
187,0.0415
188,0.0416
189,0.0423
190,0.0423
191,0.0422
192,0.0434
193,0.0429
194,0.0436
195,0.0427
196,0.0415
197,0.0425
198,0.0427
199,0.0423
200,0.0437
201,0.0446
202,0.0458
203,0.0461
204,0.0468
205,0.0484
206,0.0489
207,0.0501
208,0.0504
209,0.0507
210,0.0515
211,0.0509
212,0.0511
213,0.0508
214,0.0509
215,0.051
216,0.0502
217,0.0499
218,0.0498
219,0.0506
220,0.0509
221,0.0516
222,0.0527
223,0.0527
224,0.0529
225,0.0528
226,0.0525
227,0.0528
228,0.0532
229,0.054
230,0.0536
231,0.0544
232,0.0543
233,0.0549
234,0.0553
235,0.0542
236,0.0542
237,0.0536
238,0.0537
239,0.053
240,0.0536
241,0.0531
242,0.055
243,0.0543
244,0.0545
245,0.0544
246,0.0552
247,0.0559
248,0.0563
249,0.0568
250,0.0568
251,0.0568
252,0.0556
253,0.0554
254,0.0553
255,0.0547
256,0.0543
257,0.0541
258,0.0551
259,0.0564
260,0.0562
261,0.0562
262,0.0573
263,0.0584
264,0.0583
265,0.0572
266,0.0579
267,0.0581
268,0.0583
269,0.0588
270,0.0589
271,0.0601
272,0.0603
273,0.0605
274,0.061
275,0.0611
276,0.0616
277,0.0619
278,0.062
279,0.0624
280,0.0607
281,0.0606
282,0.0615
283,0.0619
284,0.0617
285,0.0611
286,0.0621
287,0.0622
288,0.0614
289,0.0613
290,0.0602
291,0.0603
292,0.0612
293,0.0625
294,0.0625
295,0.0622
296,0.0623
297,0.0624
298,0.0626
299,0.0629
300,0.0624
301,0.0632
302,0.0641
303,0.0641
304,0.0642
305,0.0653
306,0.0655
307,0.0658
308,0.0654
309,0.0662
310,0.068
311,0.0683
312,0.0687
313,0.0687
314,0.0689
315,0.0689
316,0.0702
317,0.0701
318,0.0694
319,0.0715
320,0.0712
321,0.07
322,0.0703
323,0.0706
324,0.0706
325,0.0702
326,0.0711
327,0.0719
328,0.071
329,0.0713
330,0.0711
331,0.072
332,0.0728
333,0.0724
334,0.0712
335,0.0714
336,0.0717
337,0.0727
338,0.0716
339,0.0713
340,0.0724
341,0.0727
342,0.0728
343,0.0731
344,0.073
345,0.0724
346,0.0727
347,0.0733
348,0.0734
349,0.0736
350,0.0743
351,0.074
352,0.0747
353,0.0753
354,0.0759
355,0.0763
356,0.0754
357,0.0771
358,0.0768
359,0.076
360,0.0752
361,0.0758
362,0.0763
363,0.0776
364,0.077
365,0.0766
366,0.0778
367,0.0777
368,0.0785
369,0.0774
370,0.0773
371,0.0796
372,0.0801
373,0.078
374,0.0789
375,0.0797
376,0.0803
377,0.0817
378,0.0821
379,0.0824
380,0.0813
381,0.0806
382,0.081
383,0.0804
384,0.0804
385,0.0804
386,0.0803
387,0.0807
388,0.0802
389,0.0795
390,0.0793
391,0.0808
392,0.0803
393,0.0798
394,0.0797
395,0.0791
396,0.0802
397,0.0809
398,0.0814
399,0.0819
400,0.081
401,0.0807
402,0.0798
403,0.0807
404,0.0801
405,0.081
406,0.0819
407,0.082
408,0.0827
409,0.0841
410,0.0853
411,0.0851
412,0.0851
413,0.0848
414,0.0852
415,0.0858
416,0.0857
417,0.0855
418,0.0852
419,0.0843
420,0.0842
421,0.0844
422,0.0842
423,0.0851
424,0.0846
425,0.0848
426,0.085
427,0.0851
428,0.0855
429,0.0848
430,0.0856
431,0.085
432,0.085
433,0.0844
434,0.0876
435,0.088
436,0.0876
437,0.0878
438,0.0879
439,0.0879
440,0.0887
441,0.0895
442,0.0899
443,0.0896
444,0.0888
445,0.0905
446,0.0902
447,0.0906
448,0.0908
449,0.0901
450,0.0907
451,0.0922
452,0.0913
453,0.092
454,0.0929
455,0.0921
456,0.0941
457,0.0944
458,0.0953
459,0.0942
460,0.0952
461,0.0935
462,0.0943
463,0.0946
464,0.0945
465,0.0943
466,0.0944
467,0.0947
468,0.0944
469,0.0924
470,0.0927
471,0.0935
472,0.0924
473,0.0935
474,0.0937
475,0.0946
476,0.0946
477,0.0945
478,0.0942
479,0.0946
480,0.0955
481,0.0961
482,0.0954
483,0.0962
484,0.0977
485,0.0987
486,0.0977
487,0.0985
488,0.0998
489,0.0987
490,0.0985
491,0.0981
492,0.0983
493,0.0982
494,0.0981
495,0.0988
496,0.0988
