,M+1,M+2,M+3,M+4
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.002,0.0,0.0
8,0.0,0.002,0.0,0.0
9,0.0,0.004,0.0,0.0
10,0.0,0.004,0.0,0.0
11,0.0,0.004,0.0,0.0
12,0.0,0.004,0.0,0.0
13,0.0,0.004,0.0,0.0
14,0.0,0.004,0.0,0.0
15,0.0,0.006,0.0,0.0
16,0.0,0.006,0.0,0.0
17,0.0,0.006,0.0,0.0
18,0.0,0.006,0.0,0.0
19,0.0,0.006,0.0,0.0
20,0.0,0.006,0.0,0.0
21,0.0,0.01,0.0,0.0
22,0.0,0.01,0.0,0.0
23,0.0,0.018,0.0,0.0
24,0.0,0.02,0.0,0.0
25,0.0,0.022,0.0,0.0
26,0.0,0.022,0.0,0.0
27,0.0,0.024,0.0,0.0
28,0.0,0.026,0.0,0.0
29,0.0,0.028,0.0,0.002
30,0.0,0.034,0.0,0.002
31,0.0,0.034,0.0,0.004
32,0.0,0.036,0.0,0.004
33,0.0,0.04,0.0,0.004
34,0.0,0.042,0.0,0.004
35,0.0,0.046,0.0,0.004
36,0.0,0.05,0.0,0.004
37,0.0,0.052,0.0,0.004
38,0.0,0.05,0.0,0.004
39,0.0,0.05,0.0,0.004
40,0.0,0.052,0.0,0.004
41,0.0,0.054,0.0,0.004
42,0.0,0.056,0.0,0.004
43,0.0,0.058,0.0,0.004
44,0.0,0.056,0.0,0.004
45,0.0,0.058,0.0,0.004
46,0.0,0.058,0.0,0.004
47,0.0,0.06,0.0,0.004
48,0.0,0.066,0.0,0.004
49,0.0,0.072,0.0,0.004
50,0.0,0.074,0.0,0.004
51,0.0,0.078,0.0,0.004
52,0.0,0.074,0.0,0.004
53,0.0,0.07,0.0,0.004
54,0.0,0.068,0.0,0.004
55,0.0,0.074,0.0,0.004
56,0.0,0.08,0.0,0.004
57,0.0,0.076,0.0,0.004
58,0.0,0.08,0.0,0.004
59,0.0,0.078,0.0,0.004
60,0.0,0.078,0.0,0.004
61,0.0,0.078,0.0,0.004
62,0.0,0.082,0.0,0.004
63,0.0,0.084,0.0,0.004
64,0.0,0.09,0.0,0.004
65,0.0,0.094,0.0,0.004
66,0.0,0.096,0.0,0.004
67,0.0,0.1,0.0,0.004
68,0.0,0.102,0.0,0.004
69,0.0,0.106,0.0,0.004
70,0.0,0.106,0.0,0.004
71,0.0,0.108,0.0,0.004
72,0.0,0.11,0.0,0.004
73,0.0,0.114,0.0,0.004
74,0.0,0.108,0.0,0.004
75,0.0,0.106,0.0,0.004
76,0.0,0.108,0.0,0.004
