,total_excess
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.001
8,0.001
9,0.002
10,0.002
11,0.002
12,0.002
13,0.002
14,0.002
15,0.003
16,0.003
17,0.003
18,0.003
19,0.003
20,0.003
21,0.005
22,0.005
23,0.009
24,0.01
25,0.011
26,0.011
27,0.012
28,0.013
29,0.016
30,0.019
31,0.021
32,0.022
33,0.024
34,0.025
35,0.027
36,0.029
37,0.03
38,0.029
39,0.029
40,0.03
41,0.031
42,0.032
43,0.033
44,0.032
45,0.033
46,0.033
47,0.034
48,0.037
49,0.04
50,0.041
51,0.043
52,0.041
53,0.039
54,0.038
55,0.041
56,0.044
57,0.042
58,0.044
59,0.043
60,0.043
61,0.043
62,0.045
63,0.046
64,0.049
65,0.051
66,0.052
67,0.054
68,0.055
69,0.057
70,0.057
71,0.058
72,0.059
73,0.061
74,0.058
75,0.057
76,0.058
77,0.059
78,0.06
79,0.058
80,0.063
81,0.062
82,0.062
83,0.064
84,0.064
85,0.063
86,0.062
87,0.064
88,0.064
89,0.064
90,0.067
91,0.064
92,0.065
93,0.067
94,0.063
95,0.062
96,0.064
97,0.065
98,0.066
99,0.066
100,0.067
101,0.069
102,0.069
103,0.069
104,0.067
105,0.07
106,0.068
107,0.068
108,0.0695
109,0.0715
110,0.0725
111,0.0705
112,0.0705
113,0.0705
114,0.0725
115,0.0735
116,0.0745
117,0.0735
118,0.0705
119,0.0705
120,0.0715
121,0.0705
122,0.0705
123,0.071
124,0.074
125,0.071
126,0.0735
127,0.0675
128,0.0675
129,0.0675
130,0.068
131,0.071
132,0.073
133,0.07
134,0.07
135,0.069
136,0.072
137,0.076
138,0.077
139,0.078
140,0.077
141,0.078
142,0.076
143,0.073
144,0.073
145,0.078
146,0.075
147,0.078
148,0.079
149,0.078
150,0.078
151,0.076
152,0.078
153,0.079
154,0.082
155,0.084
156,0.081
157,0.08
158,0.0835
159,0.0795
160,0.0785
161,0.08
162,0.084
163,0.0835
164,0.0815
165,0.081
166,0.081
167,0.078
168,0.08
169,0.078
170,0.074
171,0.0755
172,0.077
173,0.074
174,0.079
175,0.0845
176,0.0845
177,0.0875
178,0.0845
179,0.0865
180,0.0875
181,0.0875
182,0.0885
183,0.0935
184,0.0955
185,0.0975
186,0.0965
187,0.0955
188,0.095
189,0.097
190,0.096
191,0.0965
192,0.0955
193,0.0955
194,0.0915
195,0.0895
196,0.0925
197,0.094
198,0.096
199,0.096
200,0.094
201,0.094
202,0.094
203,0.09
204,0.09
205,0.09
206,0.085
207,0.083
208,0.087
209,0.089
210,0.088
211,0.087
212,0.086
213,0.0885
214,0.0875
215,0.0865
216,0.0875
217,0.0885
218,0.0855
219,0.0865
220,0.0875
221,0.0875
222,0.087
223,0.086
224,0.089
225,0.089
226,0.089
227,0.086
228,0.088
229,0.0865
230,0.0835
231,0.0855
232,0.0845
233,0.0815
234,0.0815
235,0.0815
236,0.0815
237,0.081
238,0.0825
239,0.083
240,0.0865
241,0.0855
242,0.084
243,0.0835
244,0.0885
245,0.0865
246,0.085
247,0.085
248,0.086
249,0.087
250,0.0885
251,0.0895
252,0.0905
253,0.0905
254,0.0875
255,0.0885
256,0.0935
257,0.0895
258,0.0885
259,0.084
260,0.087
261,0.085
262,0.083
263,0.081
264,0.0805
265,0.0815
266,0.0845
267,0.0865
268,0.0865
269,0.089
270,0.087
271,0.088
272,0.091
273,0.091
274,0.092
275,0.09
276,0.091
277,0.096
278,0.098
279,0.101
280,0.102
281,0.102
282,0.1
283,0.0975
284,0.0985
285,0.0995
286,0.0955
287,0.094
288,0.095
289,0.098
290,0.101
291,0.102
292,0.1
293,0.1
294,0.099
295,0.1
296,0.0975
297,0.0955
298,0.0995
299,0.0995
300,0.1005
301,0.1015
302,0.105
303,0.1045
304,0.0995
305,0.1
306,0.099
307,0.102
308,0.1045
309,0.1055
310,0.1065
311,0.103
312,0.103
313,0.1035
314,0.105
315,0.106
316,0.1035
317,0.1045
318,0.1045
319,0.109
320,0.109
321,0.107
322,0.106
323,0.105
324,0.106
325,0.112
326,0.11
327,0.107
328,0.1095
329,0.106
330,0.1055
331,0.1065
332,0.1085
333,0.106
334,0.106
335,0.1015
336,0.105
337,0.1045
338,0.105
339,0.105
340,0.105
341,0.106
342,0.106
343,0.104
344,0.106
345,0.107
346,0.108
347,0.111
348,0.11
349,0.109
350,0.11
351,0.109
352,0.107
353,0.104
354,0.104
355,0.1075
356,0.11
357,0.109
358,0.112
359,0.1105
360,0.1115
361,0.1125
362,0.111
363,0.113
364,0.113
365,0.1125
366,0.1105
367,0.1075
368,0.1085
369,0.1095
370,0.1075
371,0.1085
372,0.1055
373,0.108
374,0.11
375,0.112
376,0.1105
377,0.1115
378,0.107
379,0.1075
380,0.1135
381,0.11
382,0.109
383,0.1125
384,0.109
385,0.1085
386,0.1085
387,0.1075
388,0.105
389,0.107
390,0.1045
391,0.106
392,0.1055
393,0.108
394,0.109
395,0.106
396,0.1105
397,0.1085
398,0.1055
399,0.1075
400,0.1095
401,0.107
402,0.109
403,0.112
404,0.109
405,0.108
406,0.107
407,0.108
408,0.1135
409,0.117
410,0.1175
411,0.1165
412,0.1155
413,0.115
414,0.118
415,0.113
416,0.1105
417,0.113
418,0.115
419,0.115
420,0.112
421,0.113
422,0.1105
423,0.113
424,0.11
425,0.1085
426,0.1115
427,0.12
428,0.122
429,0.119
430,0.1165
431,0.1175
432,0.119
433,0.1215
434,0.1205
435,0.1215
436,0.124
437,0.122
438,0.124
439,0.12
440,0.116
441,0.116
442,0.1125
443,0.112
444,0.1075
445,0.108
446,0.1075
447,0.106
448,0.107
449,0.1075
450,0.107
451,0.107
452,0.1055
453,0.1025
454,0.103
455,0.1035
456,0.0985
457,0.0975
458,0.1005
459,0.104
460,0.105
461,0.1045
462,0.1
463,0.1005
464,0.104
465,0.1085
466,0.1135
467,0.115
468,0.1185
469,0.116
470,0.116
471,0.117
472,0.1165
473,0.1165
474,0.1205
475,0.1155
476,0.115
477,0.115
478,0.117
479,0.114
480,0.116
481,0.1165
482,0.12
483,0.1205
484,0.121
485,0.122
486,0.12
487,0.124
488,0.123
489,0.1195
490,0.1215
491,0.1205
492,0.1225
493,0.122
494,0.121
495,0.12
496,0.118
497,0.1165
498,0.1165
499,0.1185
500,0.1165
501,0.1175
502,0.1195
503,0.1175
504,0.1165
505,0.1195
506,0.1165
507,0.12
508,0.1255
509,0.13
510,0.1295
511,0.1315
512,0.1345
513,0.1355
514,0.1385
515,0.1375
516,0.136
517,0.135
518,0.1315
519,0.1325
520,0.1315
521,0.1325
522,0.1315
523,0.131
524,0.132
525,0.1315
526,0.1335
527,0.1315
528,0.1305
529,0.132
530,0.131
531,0.1325
532,0.133
533,0.134
534,0.133
535,0.132
536,0.1335
537,0.1365
538,0.131
